0	0	0	0	0	0	0:0:0	0	0	0
1	1250	1110	1260	600	4	0:11:0	6	24:00:00	0
2	1600	1420	1615	770	2	0:18:0	7	23:08:10	0
3	2050	1820	2065	985	2	0:27:30	9	22:18:11	0
4	2620	2330	2640	1260	2	0:43:0	10	21:30:01	0
5	3355	2980	3380	1610	2	1:27:0	12	20:43:34	0
6	4295	3815	4330	2060	3	3:5:0	15	19:58:48	0
7	5500	4880	5540	2640	3	4:35:0	18	19:15:39	0
8	7035	6250	7095	3380	3	6:10:0	21	18:34:03	0
9	9005	8000	9080	4325	3	7:30:0	26	17:53:56	0
10	11530	10240	11620	5535	3	8:35:0	31	17:15:17	43:08:11
11	14755	13105	14875	7085	3	10:25:0	37	16:38:00	41:35:01
12	18890	16775	19040	9065	3	12:15:0	45	16:02:05	40:05:12
13	24180	21470	24370	11605	3	14:25:0	53	15:27:27	38:38:36
14	30950	27480	31195	14855	3	16:15:0	64	14:54:03	37:15:08
15	39615	35175	39930	19015	3	18:45:0	77	14:21:52	35:54:40
16	50705	45025	51110	24340	4	21:0:0	92	13:50:50	34:37:06
17	64905	57635	65425	31155	4	24:15:0	111	13:20:56	33:22:20
18	83075	73770	83740	39875	4	28:40:0	133	12:52:06	32:10:15
19	106340	94430	107190	51040	4	33:0:0	160	12:24:18	31:00:45
20	136115	120870	137200	65335	4	37:25:0	192	11:57:30	29:53:46
№	лес	глина	железо	зерно	потреб.	время	ЕК	время	время
								празд-	торжества
								ника	
Ратуша
