0	0	0	0	0	0	0:0:0	0	0
1	40	100	50	60	2	00:00:25	1	7
2	65	165	85	100	1	00:01:50	1	13
3	110	280	140	165	1	00:06:00	2	21
4	185	465	235	280	1	00:24:00	2	31
5	310	780	390	465	1	00:48:00	2	46
6	520	1300	650	780	2	01:36:00	3	70
7	870	2170	1085	1300	2	02:25:00	4	96
8	1450	3625	1810	2175	2	04:50:00	4	140
9	2420	6050	3025	3630	2	07:10:00	5	203
10	4040	10105	5050	6060	2	10:50:00	6	280
11	6750	16870	8435	10125	2	14:25:00	7	392
12	11270	28175	14090	16905	2	18:00:00	9	525
13	18820	47055	23525	28230	2	21:35:00	11	693
14	31430	78580	39290	47150	2	26:25:00	13	889
15	52490	131230	65615	78740	2	30:00:00	15	1120
16	87660	219155	109575	131490	3	36:00:00	18	1400
17	146395	365985	182995	219590	3	48:00:00	22	1820
18	244480	611195	305600	366715	3	60:00:00	27	2240
19	408280	1020695	510350	612420	3	72:00:00	32	2800
20	681825	1704565	852280	1022740	3	96:00:00	38	3430
№	лес	глина	железо	зерно	потреб.	время	ЕК	Производство
Лесопилка
