0	0	0	0	0	0	0:0:0	0	0
1	630	420	780	360	4	0:11:0	1	100
2	805	540	1000	460	2	0:16:0	1	90
3	1030	690	1280	590	2	0:23:0	2	81
4	1320	880	1635	755	2	0:34:0	2	73
5	1690	1125	2095	965	2	1:7:0	2	66
6	2165	1445	2680	1235	3	2:20:0	3	59
7	2770	1845	3430	1585	3	3:25:0	4	53
8	3545	2365	4390	2025	3	4:40:0	4	48
9	4540	3025	5620	2595	3	5:35:0	5	43
10	5810	3875	7195	3320	3	6:25:0	6	39
11	7440	4960	9210	4250	3	7:45:0	7	35
12	9520	6345	11785	5440	3	9:10:0	9	31
13	12185	8125	15085	6965	3	10:45:0	11	28
14	15600	10400	19310	8915	3	12:5:0	13	25
15	19965	13310	24720	11410	3	14:0:0	15	23
16	25555	17035	31640	14605	4	15:40:0	18	21
17	32710	21810	40500	18690	4	18:5:0	22	19
18	41870	27915	51840	23925	4	21:20:0	27	17
19	53595	35730	66355	30625	4	24:35:0	32	15
20	68600	45735	84935	39200	4	27:55:0	38	14
№	лес	глина	железо	зерно	потреб.	время	ЕК	% времени
								обучения
Большая казарма
