0	0	0	0	0	0	0:0:0	0	0
1	70	90	70	20	0	0:0:20	1	7
2	115	150	115	35	0	0:1:30	1	13
3	195	250	195	55	0	0:5:0	2	21
4	325	420	325	95	0	0:20:0	2	31
5	545	700	545	155	0	0:40:0	2	46
6	910	1170	910	260	1	1:20:0	3	70
7	1520	1950	1520	435	1	2:0:0	4	98
8	2535	3260	2535	725	1	4:0:0	4	140
9	4235	5445	4235	1210	1	6:0:0	5	203
10	7070	9095	7070	2020	1	9:0:0	6	280
11	11810	15185	11810	3375	1	12:0:0	7	392
12	19725	25360	19725	5635	1	15:0:0	9	525
13	32940	42350	32940	9410	1	18:0:0	11	693
14	55005	70720	55005	15715	1	22:0:0	13	889
15	91860	118105	91860	26245	1	25:0:0	15	1120
16	153405	197240	153405	43830	2	30:0:0	18	1400
17	256190	329385	256190	73195	2	40:0:0	22	1820
18	427835	550075	427835	122240	2	50:0:0	27	2240
19	714485	918625	714485	204140	2	60:0:0	32	2800
20	1193195	1534105	1193195	340915	2	80:0:0	38	3430
№	лес	глина	железо	зерно	потреб.	время	ЕК	Производство
Ферма
