0	0	0	0	0	0	0:0:0	0	0
1	130	160	90	40	1	0:0:35	1	1200
2	165	205	115	50	1	0:4:20	1	1700
3	215	260	145	65	1	0:9:10	2	2300
4	275	335	190	85	1	0:17:30	2	3100
5	350	430	240	105	1	0:40:0	2	4000
6	445	550	310	135	1	1:32:0	3	5000
7	570	705	395	175	1	2:20:0	4	6300
8	730	900	505	225	1	3:10:0	4	7700
9	935	1155	650	290	1	3:50:0	5	9600
10	1200	1475	830	370	1	4:25:0	6	12000
11	1535	1890	1065	470	2	5:20:0	7	14400
12	1965	2420	1360	605	2	6:20:0	9	18000
13	2515	3095	1740	775	2	7:30:0	11	22000
14	3220	3960	2230	990	2	8:25:0	13	26000
15	4120	5070	2850	1270	2	9:45:0	15	32000
16	5275	6490	3650	1625	2	10:55:0	18	38000
17	6750	8310	4675	2075	2	12:40:0	22	45000
18	8640	10635	5980	2660	2	14:55:0	27	55000
19	11060	13610	7655	3405	2	17:15:0	32	66000
20	14155	17420	9800	4355	2	19:35:0	38	80000
№	лес	глина	железо	зерно	потреб.	время	ЕК	вместимость
Склад
