0	0	0	0	0	0	0:0:0	0	0
1	3210	2050	2750	3830	6	2:13:20	5	101
2	3980	2540	3410	4750	3	2:44:40	6	102
3	4935	3150	4230	5890	3	3:21:0	7	103
4	6120	3910	5245	7300	3	4:3:10	8	104
5	7590	4845	6500	9055	3	4:52:10	10	105
6	9410	6010	8060	11230	4	5:48:50	12	106
7	11670	7450	9995	13925	4	6:54:40	14	107
8	14470	9240	12395	17265	4	8:11:0	17	108
9	17940	11460	15370	21410	4	9:39:30	21	109
10	22250	14210	19060	26545	4	11:22:10	25	110
11	27590	17620	23635	32915	4	13:21:20	30	111
12	34210	21845	29305	40815	4	15:39:40	36	112
13	42420	27090	36340	50615	4	18:20:0	43	113
14	52600	33590	45060	62760	4	21:26:0	51	114
15	65225	41655	55875	77820	4	25:1:40	62	115
16	80880	51650	69290	96500	5	29:12:0	74	116
17	100290	64045	85915	119660	5	34:2:20	89	117
18	124360	79420	106535	148375	5	39:39:10	106	118
19	154205	98480	132105	183990	5	46:9:40	128	119
20	191215	112115	163810	228145	5	53:42:50	153	120
№	лес	глина	железо	зерно	потреб.	время	ЕК	% бонуса
								для войск
Пивоварня (Германцы)
