0	0	0	0	0	0	0:0:0	0	0	0
1	120	200	0	80	0	0:33:20	1	2	1
2	155	255	0	100	0	0:43:40	1	4	4
3	195	330	0	130	0	0:55:40	2	6	8
4	250	420	0	170	0	1:09:30	2	8	13
5	320	535	0	215	0	1:25:40	2	10	19
6	410	685	0	275	1	1:44:20	3	13	27
7	530	880	0	350	1	2:06:10	4	15	36
8	675	1125	0	450	1	2:31:20	4	17	46
9	865	1440	0	575	1	3:00:30	5	20	57
10	1105	1845	0	740	1	3:34:20	6	22	69
11	1415	2360	0	945	1	4:13:40	7	24	83
12	1815	3020	0	1210	1	4:59:10	9	27	98
13	2320	3870	0	1545	1	5:52:10	11	29	114
14	2970	4950	0	1980	1	6:53:30	13	32	132
15	3805	6340	0	2535	1	8:04:40	15	35	151
16	4870	8115	0	3245	2	9:27:10	18	37	171
17	6230	10385	0	4155	2	11:02:50	22	40	192
18	7975	13290	0	5315	2	12:54:00	27	43	214
19	10210	17015	0	6805	2	15:02:50	32	46	238
20	13065	21780	0	8710	2	17:32:10	38	49	263
№	лес	глина	железо	зерно	потреб.	время	ЕК	%	тараны
								защиты
Земляной вал (Германцы)
