0	0	0	0	0	0	0:0:0	0	0
1	80	120	70	90	4	0:0:35	1	10
2	105	160	95	120	2	0:4:15	1	22
3	140	210	125	160	2	0:9:0	2	35
4	190	280	165	210	2	0:17:0	2	49
5	250	375	220	280	2	0:40:0	2	64
6	335	500	290	375	3	1:30:0	3	80
7	445	665	385	500	3	2:15:0	4	97
8	590	885	515	665	3	3:5:0	4	115
9	785	1175	685	880	3	3:45:0	5	134
10	1040	1565	910	1170	3	4:20:0	6	154
11	1385	2080	1210	1560	3	5:15:0	7	175
12	1845	2765	1610	2075	3	6:15:0	9	196
13	2450	3675	2145	2755	3	7:20:0	11	218
14	3260	4890	2850	3665	3	8:15:0	13	241
15	4335	6505	3795	4875	3	9:35:0	15	265
16	5765	8650	5045	6485	4	10:45:0	18	290
17	7670	11505	6710	8625	4	12:25:0	22	316
18	10200	15300	8925	11475	4	14:40:0	27	343
19	13565	20345	11870	15260	4	16:55:0	32	371
20	18040	27060	15785	20295	4	19:15:0	38	400
№	лес	глина	железо	зерно	потреб.	время	ЕК	Ловушки
Капканщик (Галлы)
