0	0	0	0	0	0	0:0:0	0	0
1	460	510	600	320	3	0:11:0	4	100
2	590	655	770	410	2	0:16:0	4	90
3	755	835	985	525	2	0:22:30	5	81
4	965	1070	1260	670	2	0:33:0	6	73
5	1235	1370	1610	860	2	1:4:0	7	66
6	1580	1750	2060	1100	2	2:15:0	9	59
7	2025	2245	2640	1405	2	3:15:0	11	53
8	2590	2870	3380	1800	2	4:25:0	13	48
9	3315	3675	4325	2305	2	5:20:0	15	43
10	4245	4705	5535	2950	2	6:5:0	19	39
11	5430	6020	7085	3780	3	7:25:0	22	35
12	6950	7705	9065	4835	3	8:40:0	27	31
13	8900	9865	11605	6190	3	10:15:0	32	28
14	11390	12625	14855	7925	3	11:30:0	39	25
15	14580	16165	19015	10140	3	13:20:0	46	23
16	18660	20690	24340	12980	3	14:55:0	55	21
17	23885	26480	31155	16615	3	17:15:0	67	19
18	30570	33895	39875	21270	3	20:20:0	80	17
19	39130	43385	51040	27225	3	23:25:0	96	15
20	50090	55535	65335	34845	3	26:30:0	115	14
№	лес	глина	железо	зерно	потреб.	время	ЕК	% времени
								обучения
Мастерская
