0	0	0	0	0	0	0:0:0	0
1	66700	69050	72200	13200	1	5:00:00	0
2	68535	70950	74185	13565	1	5:14:10	0
3	70420	72900	76225	13935	1	5:28:40	0
4	72355	74905	78320	14320	1	5:43:10	0
5	74345	76965	80475	14715	1	5:58:00	0
6	76390	79080	82690	15120	1	6:13:00	0
7	78490	81255	84965	15535	1	6:28:10	0
8	80650	83490	87300	15960	1	6:43:40	0
9	82865	85785	89700	16400	1	6:59:20	0
10	85145	88145	92165	16850	1	7:15:10	0
11	87485	90570	94700	17315	2	7:31:20	0
12	89895	93060	97305	17790	2	7:47:40	0
13	92365	95620	99980	18280	2	8:04:10	0
14	94905	98250	102730	18780	2	8:21:00	0
15	97515	100950	105555	19300	2	8:38:00	0
16	100195	103725	108460	19830	2	8:55:10	0
17	102950	106580	111440	20375	2	9:12:40	0
18	105785	109510	114505	20935	2	9:30:30	0
19	108690	112520	117655	21510	2	9:48:20	0
20	111680	115615	120890	22100	2	10:06:40	0
21	114755	118795	124215	22710	3	10:25:10	0
22	117910	122060	127630	23335	3	10:43:50	0
23	121150	125420	131140	23975	3	11:02:50	0
24	124480	128870	134745	24635	3	11:22:10	0
25	127905	132410	138455	25315	3	11:41:40	0
26	131425	136055	142260	26010	3	12:01:30	0
27	135035	139795	146170	26725	3	12:21:40	0
28	138750	143640	150190	27460	3	12:42:00	0
29	142565	147590	154320	28215	3	13:02:40	0
30	146485	151650	158565	28990	3	13:23:40	0
31	150515	155820	162925	29785	4	13:45:00	0
32	154655	160105	167405	30605	4	14:06:30	0
33	158910	164505	172010	31450	4	14:28:20	0
34	163275	169030	176740	32315	4	14:50:30	0
35	167770	173680	181600	33200	4	15:13:00	0
36	172380	178455	186595	34115	4	15:35:40	0
37	177120	183360	191725	35055	4	15:58:50	0
38	181995	188405	197000	36015	4	16:22:20	0
39	186995	193585	202415	37005	4	16:46:00	0
40	192140	198910	207985	38025	4	17:10:10	0
41	197425	204380	213705	39070	5	17:34:30	0
42	202855	210000	219580	40145	5	17:59:20	0
43	208430	215775	225620	41250	5	18:24:20	0
44	214165	221710	231825	42385	5	18:49:50	0
45	220055	227805	238200	43550	5	19:15:40	0
46	226105	234070	244750	44745	5	19:41:50	0
47	232320	240505	251480	45975	5	20:08:20	0
48	238710	247120	258395	47240	5	20:35:20	0
49	245275	253915	265500	48540	5	21:02:40	0
50	252020	260900	272800	49875	5	21:30:20	0
51	258950	268075	280305	51245	6	21:58:20	0
52	266070	275445	288010	52655	6	22:26:50	0
53	273390	283020	295930	54105	6	22:55:40	0
54	280905	290805	304070	55590	6	23:24:50	0
55	288630	298800	312430	57120	6	23:54:30	0
56	296570	307020	321025	58690	6	24:24:40	0
57	304725	315460	329850	60305	6	24:55:10	0
58	313105	324135	338925	61965	6	25:26:10	0
59	321715	333050	348245	63670	6	25:57:30	0
60	330565	342210	357820	65420	6	26:29:20	0
61	339655	351620	367660	67220	7	27:01:30	0
62	348995	361290	377770	69065	7	27:34:10	0
63	358590	371225	388160	70965	7	28:07:20	0
64	368450	381435	398835	72915	7	28:41:00	0
65	378585	391925	409800	74920	7	29:15:10	0
66	388995	402700	421070	76985	7	29:49:40	0
67	399695	413775	432650	79100	7	30:24:40	0
68	410685	425155	444550	81275	7	31:00:20	0
69	421980	436845	456775	83510	7	31:36:20	0
70	433585	448860	469335	85805	7	32:12:50	0
71	445505	461205	482240	88165	8	32:50:00	0
72	457760	473885	495505	90590	8	33:27:30	0
73	470345	486920	509130	93080	8	34:05:40	0
74	483280	500310	523130	95640	8	34:44:20	0
75	496570	514065	537520	98270	8	35:23:30	0
76	510225	528205	552300	100975	8	36:03:10	0
77	524260	542730	567490	103750	8	36:43:30	0
78	538675	557655	583095	106605	8	37:24:20	0
79	553490	572990	599130	109535	8	38:05:40	0
80	568710	588745	615605	112550	8	38:47:40	0
81	584350	604935	632535	115645	9	39:30:20	0
82	600420	621575	649930	118825	9	40:13:30	0
83	616930	638665	667800	122090	9	40:57:20	0
84	633895	656230	686165	125450	9	41:41:40	0
85	651330	674275	705035	128900	9	42:26:40	0
86	669240	692820	724425	132445	9	43:12:20	0
87	687645	711870	744345	136085	9	43:58:40	0
88	706555	731445	764815	139830	9	44:45:40	0
89	725985	751560	785850	143675	9	45:33:10	0
90	745950	772230	807460	147625	9	46:21:30	0
91	766460	793465	829665	151685	10	47:10:20	0
92	787540	815285	852480	155855	10	48:00:00	0
93	809195	837705	875920	160140	10	48:50:20	0
94	831450	860745	900010	164545	10	49:41:20	0
95	854315	884415	924760	169070	10	50:33:10	0
96	877810	908735	950190	173720	10	51:25:30	0
97	901950	933725	976320	178495	10	52:18:50	0
98	926750	959405	1000000	183405	10	53:12:40	0
99	952235	985785	1000000	188450	10	54:07:20	0
100	1000000	1000000	1000000	193630	10	55:02:50	0
№	лес	глина	железо	зерно	потреб.	время	ЕК
ЧУДО СВЕТА
