0	0	0	0	0	0	0:0:0	0	0
1	720	685	645	250	4	0:34:0	7	300
2	1815	1725	1625	625	2	0:42:0	9	500
3	2285	2175	2050	785	2	0:52:0	10	800
4	2880	2740	2580	990	2	1:8:0	12	1200
5	3630	3455	3250	1250	2	1:53:0	15	1700
6	4575	4350	4095	1570	3	3:35:0	18	2300
7	5760	5480	5160	1980	3	5:10:0	21	3000
8	7260	6905	6505	2495	3	6:50:0	26	3800
9	9150	8705	8195	3145	3	8:10:0	31	4700
10	11525	10965	10325	3960	3	9:20:0	37	5700
11	14525	13815	13010	4990	3	11:15:0	45	6800
12	18300	17410	16395	6290	3	13:10:0	53	8000
13	23055	21935	20655	7925	3	15:25:0	64	9300
14	29050	27640	26025	9985	3	17:20:0	77	10700
15	36605	34825	32795	12585	3	20:0:0	92	12200
16	46125	43880	41320	15855	4	22:20:0	111	13800
17	58115	55290	52060	19975	4	25:45:0	133	15500
18	73225	69665	65600	25170	4	30:20:0	160	17300
19	92265	87780	82655	31715	4	34:55:0	192	19200
20	116255	110600	104145	39960	4	39:30:0	230	22000
№	лес	глина	железо	зерно	потреб.	время	ЕК	вместимость
аналог склада и амбара для ресурса GOLD
Сокровищница
