0	0	0	0	0	0	0:0:0	0	0
1	210	140	260	120	4	0:0:35	1	100
2	280	185	345	160	2	0:4:30	1	90
3	370	250	460	210	2	0:9:35	2	81
4	495	330	610	280	2	0:18:0	2	73
5	655	440	815	375	2	0:42:0	2	66
6	875	585	1080	500	3	1:36:0	3	59
7	1160	775	1440	665	3	2:25:0	4	53
8	1545	1030	1915	885	3	3:20:0	4	48
9	2055	1370	2545	1175	3	4:0:0	5	43
10	2735	1825	3385	1565	3	4:35:0	6	39
11	3635	2425	4505	2080	3	5:35:0	7	35
12	4835	3225	5990	2765	3	6:35:0	9	31
13	6435	4290	7965	3675	3	7:50:0	11	28
14	8555	5705	10595	4890	3	8:50:0	13	25
15	11380	7585	14090	6505	3	10:10:0	15	23
16	15135	10090	18740	8650	4	11:25:0	18	21
17	20130	13420	24925	11505	4	13:10:0	22	19
18	26775	17850	33150	15300	4	15:35:0	27	17
19	35610	23740	44085	20345	4	18:0:0	32	15
20	47360	31575	58635	27060	4	20:25:0	38	14
№	лес	глина	железо	зерно	потреб.	время	ЕК	% времени
								обучения
Казарма
