0	0	0	0	0	0	0:0:0	0	0
1	110	160	90	70	1	0:33:20	1	5
2	140	205	115	90	1	0:43:40	1	10
3	180	260	145	115	1	0:55:40	2	15
4	230	335	190	145	1	1:09:30	2	20
5	295	430	240	190	1	1:25:40	2	25
6	380	550	310	240	1	1:44:20	3	30
7	485	705	395	310	1	2:06:10	4	35
8	620	900	505	395	1	2:31:20	4	40
9	795	1155	650	505	1	3:00:30	5	45
10	1015	1475	830	645	1	3:34:20	6	50
11	1300	1890	1065	825	2	4:13:40	7	55
12	1660	2420	1360	1060	2	4:59:10	9	60
13	2130	3095	1740	1355	2	5:52:10	11	65
14	2725	3960	2230	1735	2	6:53:30	13	70
15	3485	5070	2850	2220	2	8:04:40	15	75
16	4460	6490	3650	2840	2	9:27:10	18	80
17	5710	8310	4675	3635	2	11:02:50	22	85
18	7310	10635	5980	4650	2	12:54:00	27	90
19	9360	13610	7655	5955	2	15:02:50	32	95
20	11980	17420	9800	7620	2	17:32:10	38	100
№	лес	глина	железо	зерно	потреб.	время	ЕК	слоты
								(кол-во одновременных атак)
Пункт сбора
