0	0	0	0	0	0	0:0:0	0	0	0
1	160	100	80	60	0	0:33:20	1	2	1
2	205	130	100	75	0	0:43:40	1	5	2
3	260	165	130	100	0	0:55:40	2	8	4
4	335	210	170	125	0	1:9:30	2	10	6
5	430	270	215	160	0	1:25:40	2	13	8
6	550	345	275	205	1	1:44:20	3	16	11
7	705	440	350	265	1	2:6:10	4	19	15
8	900	565	450	340	1	2:31:20	4	22	19
9	1155	720	575	430	1	3:00:30	5	25	23
10	1475	920	740	555	1	3:34:20	6	28	28
11	1890	1180	945	710	1	4:13:40	7	31	34
12	2420	1510	1210	905	1	4:59:10	9	35	40
13	3095	1935	1545	1160	1	5:52:10	11	38	46
14	3960	2475	1980	1485	1	6:53:30	13	41	53
15	5070	3170	2535	1900	1	8:4:40	15	45	61
16	6490	4055	3245	2435	2	9:27:10	18	49	69
17	8310	5190	4155	3115	2	11:2:50	22	52	77
18	10635	6645	5315	3990	2	12:54:00	27	56	86
19	13610	8505	6805	5105	2	15:02:50	32	60	96
20	17420	10890	8710	6535	2	17:32:10	38	64	106
№	лес	глина	железо	зерно	потреб.	время	ЕК	%	тараны
								защиты
Изгородь (Галлы)
