0	0	0	0	0	0	0:0:0	0	0
1	260	140	220	100	5	0:0:40	2	100
2	345	185	295	135	3	0:4:55	3	90
3	460	250	+390	175	3	0:10:30	3	81
4	610	330	520	235	3	0:19:30	4	73
5	815	440	690	315	3	0:46:0	5	66
6	1080	585	915	415	3	1:44:0	6	59
7	1440	775	1220	555	3	2:35:0	7	53
8	1915	1030	1620	735	3	3:35:0	9	48
9	2545	1370	2155	980	3	4:20:0	10	43
10	3385	1825	2865	1300	3	5:0:0	12	39
11	4505	2425	3810	1730	4	6:5:0	15	35
12	5990	3225	5065	2305	4	7:10:0	18	31
13	7965	4290	6740	3065	4	8:25:0	21	28
14	10595	5705	8965	4075	4	9:30:0	26	25
15	14090	7585	11920	5420	4	11:5:0	31	23
16	18740	10090	15855	7205	4	12:20:0	37	21
17	24925	13420	21090	9585	4	14:20:0	44	19
18	33150	17850	28050	12750	4	16:55:0	53	17
19	44085	23740	37305	16955	4	19:30:0	64	15
20	58635	31575	49615	22550	4	22:5:0	77	14
№	лес	глина	железо	зерно	потреб.	время	ЕК	% времени
								обучения
Конюшня
