0	0	0	0	0	0	0:0:0	0	0
1	400	500	350	100	1	0:10:30	1	3600
2	510	640	450	130	1	0:15:30	1	5100
3	655	820	575	165	1	0:21:0	2	6900
4	840	1050	735	210	1	0:31:0	2	9300
5	1075	1340	940	270	1	0:59:0	2	12000
6	1375	1720	1205	345	1	2:0:0	3	15000
7	1760	2200	1540	440	1	3:0:0	4	18900
8	2250	2815	1970	565	1	4:0:0	4	23100
9	2880	3605	2520	720	1	4:50:0	5	28800
10	3690	4610	3230	920	1	5:30:0	6	36000
11	4720	5905	4130	1180	2	6:40:0	7	43200
12	6045	7555	5290	1510	2	7:50:0	9	54000
13	7735	9670	6770	1935	2	9:15:0	11	66000
14	9905	12380	8665	2475	2	10:25:0	13	78000
15	12675	15845	11090	3170	2	12:5:0	15	96000
16	16225	20280	14200	4055	2	13:30:0	18	114000
17	20770	25960	18175	5190	2	15:35:0	22	135000
18	26585	33230	23260	6645	2	18:20:0	27	165000
19	34030	42535	29775	8505	2	21:10:0	32	198000
20	43555	54445	38110	10890	2	24:0:0	38	240000
№	лес	глина	железо	зерно	потреб.	время	ЕК	вместимость
Большой амбар
