0	0	0	0	0	0	0:0:0	0	0
1	1400	1330	1200	400	3	0:06:5	4	110
2	1790	1700	1535	510	2	0:13:30	4	120
3	2295	2180	1965	655	2	0:23:0	5	130
4	2935	2790	2515	840	2	0:38:0	6	140
5	3760	3570	3220	1075	2	1:23:0	7	150
6	4810	4570	4125	1375	2	3:5:0	9	160
7	6155	5850	5280	1760	2	4:30:0	11	170
8	7880	7485	6755	2250	2	6:10:0	13	180
9	10090	9585	8645	2880	2	7:30:0	15	190
10	12915	12265	11070	3690	2	8:35:0	19	200
11	16530	15700	14165	4720	3	10:25:0	22	210
12	21155	20100	18135	6045	3	12:20:0	27	220
13	27080	25725	23210	7735	3	14:30:0	32	230
14	34660	32930	29710	9905	3	16:20:0	39	240
15	44370	42150	38030	12675	3	18:55:0	46	250
16	56790	53950	48680	16225	3	21:10:0	55	260
17	72690	69060	62310	20770	3	24:30:0	67	270
18	93045	88395	79755	26585	3	28:55:0	80	280
19	119100	113145	102085	34030	3	33:25:0	96	290
20	152445	144825	130670	43555	3	37:50:0	115	300
№	лес	глина	железо	зерно	потреб.	время	ЕК	% грузоподъемности
								торговцев
Торговая палата
