0	0	0	0	0	0	0:0:0	0
1	550	800	750	250	1	1:1:0	6
2	705	1025	960	320	1	1:6:0	7
3	900	1310	1230	410	1	1:13:0	9
4	1155	1680	1575	525	1	1:25:0	10
5	1475	2145	2015	670	1	1:58:0	12
6	1890	2750	2575	860	1	3:15:0	15
7	2420	3520	3300	1100	1	4:20:0	18
8	3095	4505	4220	1405	1	5:35:0	21
9	3965	5765	5405	1800	1	6:35:0	26
10	5075	7380	6920	2305	1	7:25:0	31
11	6495	9445	8855	2950	2	8:50:0	37
12	8310	12090	11335	3780	2	10:10:0	45
13	10640	15475	14505	4835	2	11:50:0	53
14	13615	19805	18570	6190	2	1:15:0	64
15	17430	25355	23770	7925	2	3:10:0	77
16	22310	32450	30425	10140	2	4:50:0	92
17	28560	41540	38940	12980	2	7:20:0	111
18	36555	53170	49845	16615	2	10:45:0	133
19	46790	68055	63805	21270	2	26:5:0	160
20	59890	87110	81670	27225	2	29:25:0	192
№	лес	глина	железо	зерно	потреб.	время	ЕК
Дворец
