0	0	0	0	0	0	0:0:0	0	0
1	80	70	120	70	4	0:0:35	4	1
2	100	90	155	90	2	0:4:10	4	2
3	130	115	195	115	2	0:9:0	5	3
4	170	145	250	145	2	0:17:0	6	4
5	215	190	320	190	2	0:39:0	7	5
6	275	240	410	240	3	1:30:0	9	6
7	350	310	530	310	3	2:15:0	11	7
8	450	395	675	395	3	3:5:0	13	8
9	575	505	865	505	3	3:45:0	15	9
10	740	645	1105	645	3	4:20:0	19	10
11	945	825	1415	825	3	5:15:0	22	11
12	1210	1060	1815	1060	3	6:10:0	27	12
13	1545	1355	2320	1355	3	7:15:0	32	13
14	1980	1735	2970	1735	3	8:15:0	39	14
15	2535	2220	3805	2220	3	9:30:0	46	15
16	3245	2840	4870	2840	4	10:40:0	55	16
17	4155	3635	6230	3635	4	12:20:0	67	17
18	5315	4650	7975	4650	4	2:35:0	80	18
19	6805	5955	10210	5955	4	4:50:0	96	19
20	8710	7620	13065	7620	4	7:0:0	115	20
№	лес	глина	железо	зерно	потреб.	время	ЕК	кол-во
								торговцев
Рынок
