0	0	0	0	0	0	0:0:0	0	0
1	780	420	660	540	5	0:11:0	4	1
2	1000	540	845	690	3	0:16:30	4	2
3	1280	690	1080	885	3	0:23:30	5	3
4	1635	880	1385	1130	3	0:35:0	6	4
5	2095	1125	1770	1450	3	1:9:0	7	5
6	2680	1445	2270	1855	3	2:25:0	9	6
7	3430	1845	2905	2375	3	3:35:0	11	7
8	4390	2365	3715	3040	3	4:50:0	13	8
9	5620	3025	4755	3890	3	5:50:0	15	9
10	7195	3875	6085	4980	3	6:40:0	19	10
11	9210	4960	7790	6375	4	8:5:0	22	11
12	11785	6345	9975	8160	4	9:30:0	27	12
13	15085	8125	12765	10445	4	11:10:0	32	13
14	19310	10400	16340	13370	4	12:35:0	39	14
15	24720	13310	20915	17115	4	14:30:0	46	15
16	31640	17035	26775	21905	4	16:15:0	55	16
17	40500	21810	34270	28040	4	18:45:0	67	17
18	51840	27915	43865	35890	4	22:10:0	80	18
19	66355	35730	56145	45940	4	25:30:0	96	19
20	84935	45735	71870	58800	4	28:55:0	115	20
№	лес	глина	железо	зерно	потреб.	время	ЕК	% времени
								обучения войск
Водопой (Римляне)
