0	0	0	0	0	0	0:0:0	0	0
1	1750	2250	1530	240	1	0:58:20	1	120
2	2240	2880	1960	305	1	1:12:40	1	140
3	2865	3685	2505	395	1	1:29:20	2	160
4	3670	3685	3210	505	1	1:48:30	2	180
5	4700	6040	4105	645	1	2:11:00	2	200
6	6015	7730	5255	825	1	2:36:50	3	220
7	7695	9895	6730	1055	1	3:7:0	4	240
8	9850	12665	8615	1350	1	3:42:0	4	260
9	12610	16215	11025	1730	1	4:22:30	5	280
10	16140	20755	14110	2215	1	5:9:30	6	300
11	20660	26565	18065	2835	2	6:4:0	7	320
12	26445	34000	23120	3625	2	7:7:0	9	340
13	33850	43520	29595	4640	2	8:20:30	11	360
14	43330	55705	37880	5940	2	9:45:40	13	380
15	55460	71305	48490	7605	2	11:24:20	15	400
16	70990	91270	62065	9735	2	13:18:50	18	420
17	90865	116825	79440	12460	2	15:31:40	22	440
18	116305	149540	101685	15950	2	18:5:40	27	460
19	148875	191410	130160	20415	2	21:4:20	32	480
20	190560	245005	166600	26135	2	24:31:40	38	500
№	лес	глина	железо	зерно	потреб.	время	ЕК	% скорости
Арена
