0	0	0	0	0	0	0:0:0	0	0
1	80	40	80	50	2	00:00:20	2	7
2	135	65	135	85	1	00:01:40	3	13
3	225	110	225	140	1	00:05:30	4	21
4	375	185	375	235	1	00:22:00	5	31
5	620	310	620	390	1	00:44:00	6	46
6	1040	520	1040	650	2	1:28:00	8	70
7	1735	870	1735	1085	2	2:10:00	10	98
8	2900	1450	2900	1810	2	4:25:00	12	140
9	4840	2420	4840	3025	2	6:35:00	14	203
10	8080	4040	8080	5050	2	9:55:00	16	280
11	13500	6750	13500	8435	2	13:10:00	18	392
12	22540	11270	22540	14090	2	16:30:00	20	525
13	37645	18820	37645	23525	2	19:50:00	22	693
14	62865	31430	62865	39290	2	24:10:00	24	889
15	104985	52490	104985	65615	2	27:30:00	26	1120
16	175320	87660	175320	109575	3	33:00:00	29	1400
17	292790	146395	292790	182995	3	44:00:00	32	1820
18	488955	244480	488955	305600	3	55:00:00	35	2240
19	816555	408280	816555	510350	3	66:00:00	38	2800
20	1363650	681825	1363650	852280	3	88:00:00	41	3430
№	лес	глина	железо	зерно	потреб.	время	ЕК	Производство
Глиняный карьер
