0	0	0	0	0	0	0:0:0	0	0
1	70	40	60	20	2	0:33:20	2	100
2	90	50	75	25	1	0:43:40	3	96
3	115	65	100	35	1	0:55:40	3	93
4	145	85	125	40	1	1:09:30	4	90
5	190	105	160	55	1	1:25:40	5	86
6	240	135	205	70	2	1:44:20	6	83
7	310	175	265	90	2	2:06:10	7	80
8	395	225	340	115	2	2:31:20	9	77
9	505	290	430	145	2	3:00:30	10	75
10	645	370	555	185	2	3:34:20	12	72
11	825	470	710	235	2	4:13:40	15	69
12	1060	605	905	300	2	4:59:10	18	67
13	1355	775	1160	385	2	5:52:10	21	64
14	1735	990	1485	495	2	6:53:30	26	62
15	2220	1270	1900	635	2	8:04:40	31	60
16	2840	1625	2435	810	3	9:27:10	37	58
17	3635	2075	3115	1040	3	11:02:50	44	56
18	4650	2660	3990	1330	3	12:54:00	53	54
19	5955	3405	5105	1700	3	15:02:50	64	52
20	7620	4355	6535	2180	3	17:32:10	77	50
№	лес	глина	железо	зерно	потреб.	время	ЕК	-% к времени
								строительства
Главное здание
