0	0	0	0	0	0	0:0:0	0	0
1	650	800	450	200	1	0:11:0	1	3600
2	830	1025	575	255	1	0:16:0	1	5100
3	1065	1310	735	330	1	0:23:0	2	6900
4	1365	1680	945	420	1	0:34:0	2	9300
5	1745	2145	1210	535	1	1:6:0	2	12000
6	2235	2750	1545	685	1	2:20:0	3	15000
7	2860	3520	1980	880	1	3:25:0	4	18900
8	3660	4505	2535	1125	1	4:35:0	4	23100
9	4685	5765	3245	1440	1	5:30:0	5	28800
10	5995	7380	4150	1845	1	6:20:0	6	36000
11	7675	9445	5315	2360	2	7:40:0	7	43200
12	9825	12090	6800	3020	2	9:0:0	9	54000
13	12575	15475	8705	3870	2	10:40:0	11	66000
14	16095	19805	11140	4950	2	12:0:0	13	78000
15	20600	25355	14260	6340	2	13:50:0	15	96000
16	26365	32450	18255	8115	2	15:30:0	18	114000
17	33750	41540	23365	10385	2	17:55:0	22	135000
18	43200	53170	29910	13290	2	21:5:0	27	165000
19	55295	68055	38280	17015	2	24:20:0	32	198000
20	70780	87110	49000	21780	2	27:30:0	38	240000
№	лес	глина	железо	зерно	потреб.	время	ЕК	вместимость
Большой склад
