0	0	0	0	0	0	0:0:0	0
1	220	160	90	40	4	0:0:35	5
2	295	215	120	55	2	0:4:25	6
3	390	285	160	70	2	0:9:20	7
4	520	375	210	95	2	0:17:30	8
5	690	500	280	125	2	0:41:0	10
6	915	665	375	165	3	1:34:0	12
7	1220	885	500	220	3	2:20:0	14
8	1620	1180	665	295	3	3:15:0	17
9	2155	1565	880	390	3	3:55:0	21
10	2865	2085	1170	520	3	4:30:0	25
11	3810	2770	1560	695	3	5:30:0	30
12	5065	3685	2075	920	3	6:25:0	36
13	6740	4900	2755	1225	3	7:35:0	43
14	8965	6520	3665	1630	3	8:35:0	51
15	11920	8670	4875	2170	3	9:55:0	62
16	15855	11530	6485	2885	4	11:5:0	74
17	21090	15335	8625	3835	4	12:50:0	89
18	28050	20400	11475	5100	4	15:15:0	106
19	37305	27130	15260	6780	4	17:35:0	128
20	49615	36085	20295	9020	4	19:55:0	153
№	лес	глина	железо	зерно	потреб.	время	ЕК
Академия
